,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_sp500_close,us_sp500_log_ret
1919-03-31,,,,,,,,,,,,,,,,,4.5238,,,,,
1919-06-30,,,,,,,,,,,,,,,,,4.9277,,,,,
1919-09-30,,,,,,,,,,,,,,,,,5.197,,,,,
1919-12-31,,,,,,,,,,,,,,,,,5.1432,,,,,
1920-03-31,,,,,,,,,,,,,,,,,5.5201,,,,,
1920-06-30,,,,,,,,,,,,,,,,,5.4124,,,,,
1920-09-30,,,,,,,,,,,,,,,,,5.1162,,,,,
1920-12-31,,,,,,,,,,,,,,,,,4.2276,,,,,
1921-03-31,,,,,,,,,,,,,,,,,3.7968,,,,,
1921-06-30,,,,,,,,,,,,,,,,,3.8776,,,,,
1921-09-30,,,,,,,,,,,,,,,,,4.0122,,,,,
1921-12-31,,,,,,,,,,,,,,,,,4.1738,,,,,
1922-03-31,,,,,,,,,,,,,,,,,4.7662,,,,,
1922-06-30,,,,,,,,,,,,,,,,,5.0893,,,,,
1922-09-30,,,,,,,,,,,,,,,,,5.2509,,,,,
1922-12-31,,,,,,,,,,,,,,,,,5.951,,,,,
1923-03-31,,,,,,,,,,,,,,,,,6.0856,,,,,
1923-06-30,,,,,,,,,,,,,,,,,6.2472,,,,,
1923-09-30,,,,,,,,,,,,,,,,,5.951,,,,,
1923-12-31,,,,,,,,,,,,,,,,,5.7894,,,,,
1924-03-31,,,,,,,,,,,,,,,,,5.9241,,,,,
1924-06-30,,,,,,,,,,,,,,,,,5.2509,,,,,
1924-09-30,,,,,,,,,,,,,,,,,5.5471,,,,,
1924-12-31,,,,,,,,,,,,,,,,,5.951,,,,,
1925-03-31,,,,,,,,,,,,,,,,,6.1395,,,,,
1925-06-30,,,,,,,,,,,,,,,,,6.1125,,,,,
1925-09-30,,,,,,,,,,,,,,,,,6.0856,,,,,
1925-12-31,,,,,,,,,,,,,,,,,6.5434,,,,,
1926-03-31,,,,,,,,,,,,,,,,,6.5165,,,,,
1926-06-30,,,,,,,,,,,,,,,,,6.5434,,,,,
1926-09-30,,,,,,,,,,,,,,,,,6.7588,,,,,
1926-12-31,,,,,,,,,,,,,,,,,6.705,,,,,
1927-03-31,,,,,,,,,,,,,,,,,6.8127,,,,,
1927-06-30,,,,,,,,,,,,,,,,,6.678,,,,,
1927-09-30,,,,,,,,,,,,,,,,,6.4895,,,,,
1927-12-31,,,,,,,,,,,,,,,,,6.3818,,,,,
1928-03-31,,,,,,,,,,,,,,,,,6.6242,,,,,
1928-06-30,,,,,,,,,,,,,,,,,6.7319,,,,,
1928-09-30,,,,,,,,,,,,,,,,,7.0012,,,,,
1928-12-31,,,,,,,,,,,,,,,,,7.4051,,,,,
1929-03-31,,,,,,,,,,,,,,,,,7.5128,,,,,
1929-06-30,,,,,,,,,,,,,,,,,7.8359,,,,,
1929-09-30,,,,,,,,,,,,,,,,,7.809,,,,,
1929-12-31,,,,,,,,,,,,,,,,,6.9742,,,,,
1930-03-31,,,,,,,,,,,,,,,,,6.8396,,,,,
1930-06-30,,,,,,,,,,,,,,,,,6.4895,,,,,
1930-09-30,,,,,,,,,,,,,,,,,5.951,,,,,
1930-12-31,,,,,,,,,,,,,,,,,5.5201,,,,,
1931-03-31,,,,,,,,,,,,,,,,,5.6279,,,,,
1931-06-30,,,,,,,,,,,,,,,,,5.4394,,,,,
1931-09-30,,,,,,,,,,,,,,,,,4.9277,,,,,
1931-12-31,,,,,,,,,,,,,,,,,4.6585,,,,,
1932-03-31,,,,,,,,,,,,,,,,,4.3623,,,,,
1932-06-30,,,,,,,,,,,,,,,,,3.7968,,,,,
1932-09-30,,,,,,,,,,,,,,,,,4.0391,,,,,
